antecedent,consequent,support,confidence,lift
yellowish skin,yellowing of eyes,0.13414634146341464,0.7333333333333334,4.295238095238095
yellowish skin,loss of appetite,0.13414634146341464,0.7333333333333334,3.1649122807017545
yellowish skin,"loss of appetite, yellowing of eyes",0.13414634146341464,0.7333333333333334,4.625641025641026
yellowish skin,"vomiting, abdominal pain",0.13414634146341464,0.7333333333333334,3.340740740740741
yellowing of eyes,abdominal pain,0.12195121951219512,0.7142857142857142,2.662337662337662
chills,fatigue,0.12195121951219512,0.7142857142857142,1.8303571428571426
yellowing of eyes,fatigue,0.12195121951219512,0.7142857142857142,1.8303571428571426
itching,abdominal pain,0.12195121951219512,0.7142857142857142,2.662337662337662
yellowing of eyes,vomiting,0.12195121951219512,0.7142857142857142,1.722689075630252
chills,pain,0.12195121951219512,0.7142857142857142,2.662337662337662
chills,"fever, fatigue",0.12195121951219512,0.7142857142857142,3.445378151260504
"loss of appetite, yellowing of eyes",abdominal pain,0.10975609756097561,0.6923076923076923,2.5804195804195804
"fever, vomiting",fatigue,0.10975609756097561,0.6923076923076923,1.7740384615384615
"fatigue, vomiting",fever,0.10975609756097561,0.6923076923076923,2.270769230769231
"yellowish skin, abdominal pain",abnormal urine,0.10975609756097561,0.6923076923076923,4.730769230769231
"fever, vomiting",nausea,0.10975609756097561,0.6923076923076923,2.9878542510121457
"yellowish skin, abdominal pain",loss of appetite,0.10975609756097561,0.6923076923076923,2.9878542510121457
"loss of appetite, vomiting",abdominal pain,0.10975609756097561,0.6923076923076923,2.5804195804195804
"yellowish skin, abdominal pain",yellowing of eyes,0.10975609756097561,0.6923076923076923,4.054945054945055
"loss of appetite, yellowing of eyes",vomiting,0.10975609756097561,0.6923076923076923,1.669683257918552
"loss of appetite, vomiting",yellowing of eyes,0.10975609756097561,0.6923076923076923,4.054945054945055
"loss of appetite, yellowing of eyes",fatigue,0.10975609756097561,0.6923076923076923,1.7740384615384615
"loss of appetite, fatigue",yellowing of eyes,0.10975609756097561,0.6923076923076923,4.054945054945055
"fatigue, vomiting",nausea,0.10975609756097561,0.6923076923076923,2.9878542510121457
"loss of appetite, yellowing of eyes","yellowish skin, abdominal pain",0.10975609756097561,0.6923076923076923,4.366863905325443
"yellowish skin, abdominal pain","loss of appetite, yellowing of eyes",0.10975609756097561,0.6923076923076923,4.366863905325443
loss of appetite,vomiting,0.15853658536585366,0.6842105263157895,1.65015479876161
loss of appetite,fatigue,0.15853658536585366,0.6842105263157895,1.7532894736842106
loss of appetite,yellowing of eyes,0.15853658536585366,0.6842105263157895,4.007518796992481
fever,fatigue,0.2073170731707317,0.6799999999999999,1.7424999999999997
yellowing of eyes,nausea,0.10975609756097561,0.6428571428571428,2.7744360902255636
yellowing of eyes,"loss of appetite, abdominal pain",0.10975609756097561,0.6428571428571428,4.792207792207791
chills,"fever, pain",0.10975609756097561,0.6428571428571428,4.792207792207791
yellowing of eyes,"yellowish skin, abdominal pain",0.10975609756097561,0.6428571428571428,4.054945054945055
yellowing of eyes,"loss of appetite, vomiting",0.10975609756097561,0.6428571428571428,4.054945054945055
yellowing of eyes,"loss of appetite, fatigue",0.10975609756097561,0.6428571428571428,4.054945054945055
yellowing of eyes,"loss of appetite, yellowish skin, abdominal pain",0.10975609756097561,0.6428571428571428,5.857142857142857
"vomiting, abdominal pain",yellowish skin,0.13414634146341464,0.6111111111111112,3.340740740740741
yellowish skin,abnormal urine,0.10975609756097561,0.6,4.1000000000000005
yellowish skin,"abnormal urine, abdominal pain",0.10975609756097561,0.6,4.92
yellowish skin,"loss of appetite, abdominal pain",0.10975609756097561,0.6,4.472727272727273
yellowish skin,"yellowing of eyes, abdominal pain",0.10975609756097561,0.6,4.92
yellowish skin,"loss of appetite, yellowing of eyes, abdominal pain",0.10975609756097561,0.6,5.466666666666667
abdominal pain,yellowish skin,0.15853658536585366,0.5909090909090908,3.23030303030303
"fever, fatigue",chills,0.12195121951219512,0.5882352941176471,3.445378151260504
headache,vomiting,0.13414634146341464,0.5789473684210527,1.3962848297213624
loss of appetite,abdominal pain,0.13414634146341464,0.5789473684210527,2.1578947368421053
nausea,fatigue,0.13414634146341464,0.5789473684210527,1.4835526315789473
loss of appetite,yellowish skin,0.13414634146341464,0.5789473684210527,3.1649122807017545
loss of appetite,"yellowing of eyes, yellowish skin",0.13414634146341464,0.5789473684210527,4.315789473684211
fatigue,fever,0.2073170731707317,0.53125,1.7425
vomiting,abdominal pain,0.21951219512195122,0.5294117647058824,1.9732620320855614
"vomiting, nausea",headache,0.10975609756097561,0.5294117647058824,2.284829721362229
"fever, fatigue",vomiting,0.10975609756097561,0.5294117647058824,1.2768166089965398
"vomiting, nausea",fever,0.10975609756097561,0.5294117647058824,1.7364705882352942
"vomiting, nausea",fatigue,0.10975609756097561,0.5294117647058824,1.3566176470588236
"vomiting, nausea",abdominal pain,0.10975609756097561,0.5294117647058824,1.9732620320855614
loss of appetite,nausea,0.12195121951219512,0.5263157894736842,2.271468144044321
nausea,loss of appetite,0.12195121951219512,0.5263157894736842,2.271468144044321
fever,vomiting,0.15853658536585366,0.52,1.2541176470588236
pain,fever,0.13414634146341464,0.5,1.6400000000000001
pain,vomiting,0.13414634146341464,0.5,1.2058823529411766
abdominal pain,loss of appetite,0.13414634146341464,0.5,2.1578947368421053
vomiting,nausea,0.2073170731707317,0.5,2.1578947368421053
abdominal pain,"yellowish skin, vomiting",0.13414634146341464,0.5,3.727272727272727
"vomiting, abdominal pain",loss of appetite,0.10975609756097561,0.5,2.1578947368421053
"vomiting, abdominal pain",nausea,0.10975609756097561,0.5,2.1578947368421053
